origin,destination,date,flight_name,airplane_name,from_time,to_time,stops,duration,cabin,price
MIL,CAI,2026-05-05,"Lufthansa, Aegean Airlines",,5:40 pm,"2:50 am
+1",2 stops,8h 10m,Economy Basic + Economy Cabin,532.0
MIL,CAI,2026-05-05,Aegean Airlines,,10:15 am,9:30 pm,1 stop,10h 15m,Economy Cabin,774.0
MIL,CAI,2026-05-05,Eurowings,,8:40 pm,"11:35 am
+1",1 stop,13h 55m,Basic,482.0
MIL,CAI,2026-05-05,Turkish Airlines,,2:55 pm,"6:10 am
+1",1 stop,14h 15m,Promotion,408.0
MIL,CAI,2026-05-05,Royal Jordanian,,4:35 pm,"7:50 am
+1",2 stops,14h 15m,Economy Cabin,427.0
MIL,CAI,2026-05-05,"Ryanair, Aegean Airlines",,5:10 pm,"2:50 am
+1",2 stops,8h 40m,Basic + Economy Cabin,403.0
MIL,CAI,2026-05-05,Multiple airlines,,5:10 pm,"2:50 am
+1",2 stops,8h 40m,Basic + Economy Cabin,399.0
MIL,CAI,2026-05-05,"Vueling, Aegean Airlines",,2:25 pm,"2:50 am
+1",2 stops,11h 25m,Economy + Economy Cabin,632.0
MIL,CAI,2026-05-05,"Lufthansa, Aegean Airlines",,3:20 pm,"2:50 am
+1",2 stops,10h 30m,Economy Basic + Economy Cabin,541.0
MIL,CAI,2026-05-05,"Pegasus Airlines, Air Cairo",,5:15 pm,"8:40 am
+1",1 stop,14h 25m,Light + Economy Cabin,519.0
MIL,CAI,2026-05-05,Multiple airlines,,5:35 pm,"8:40 am
+1",2 stops,14h 05m,SunLight + Economy Cabin,297.0
MIL,CAI,2026-05-05,Multiple airlines,,5:15 pm,"7:00 am
+1",2 stops,12h 45m,Light + Economy Cabin,579.0
MIL,CAI,2026-05-05,"Air Dolomiti, Lufthansa",,2:40 pm,"2:15 am
+1",2 stops,10h 35m,Economy + Economy Basic,756.0
